129066;Transferencia;100.16;122342;454343;
129533;Transferencia;1;122342;454343;
129699;Transferencia;1;454343;122342;
130659;Transferencia;1;454343;122342;
130852;Transferencia;1;454343;122342;
130979;Transferencia;1;454343;122342;
131299;Transferencia;1;454343;122342;
131642;Transferencia;1;122342;454343;
131776;Transferencia;1;454343;122342;
131864;Transferencia;1;454343;122342;
132181;Transferencia;46.42;454343;122342;
132374;Transferencia;52.41;122342;454343;
121988;Transferencia;12;454343;122233;
110306;Transferencia;100;122342;122233;
110707;Transferencia;120;454343;122342;
110965;Transferencia;1;454343;122342;
111047;Transferencia;16;122342;454343;
119769;Transferencia;500;122342;122233;
119851;Transferencia;35.41;454343;122233;
111591;Transferencia;10;454343;122342;
119778;Transferencia;23.2;454343;122342;
130113;Deposito;10;0;454343;
130218;Deposito;10;0;122342;
132092;Deposito;300;0;454343;
132121;Deposito;60;0;122342;
132177;Deposito;12.23;0;454343;
132245;Deposito;10.3;0;122342;
132275;Transferencia;100;454343;122342;
107259;Retiro;100;454343;0;
107299;Retiro;100;454343;0;
107367;Retiro;100;454343;0;
107628;Retiro;100;122342;0;
108046;Retiro;100.56;454343;0;
108102;Deposito;100.53;0;454343;
108131;Retiro;102.3;454343;0;
109346;Transferencia;100;454343;122342;
111671;Transferencia;718.54;122342;454343;
111704;Deposito;5;0;454343;
111753;Retiro;10;122342;0;
111805;Deposito;145.458;0;122342;
111900;Deposito;156;0;122342;
111926;Retiro;234.45;122342;0;
117624;Transferencia;100;454343;122233;
117686;Deposito;200;0;122342;
117824;Retiro;2131.23;122342;0;
118134;Transferencia;5;122342;454343;
